price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,listing_url
6.4 Crore,1,Kanal,Islamabad,,House,6,Servant Quarters: 1,2025,3,1,,1,,https://www.zameen.com/Property/gulberg_residencia_gulberg_residencia_-_block_e_1_kanal_designer_house_grey_structure_available_for_sale-54301184-9115-1.html
1.25 Crore,6.1,Marla,Islamabad,,House,2,Drawing Room,2026,1,,,1,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_luxury_2_bed_apartment_for_sale_in_galleria_tower_1_sector_h_bahria_enclave_islamabad-54369179-11983-1.html
1.1,1.7,Kanal,Islamabad,"F-6, Islamabad771.7 Kanal",House,Bathrooms: 7,Servant Quarters: 1,2026,6,1,1,1,,https://www.zameen.com/Property/islamabad_f-6_brand_new_ultra-luxury_designer_house_for_sale_in_f-6_islamabad_swimming_pool_lift_margalla_view-54369159-164-1.html
7 Crore,1,Kanal,Islamabad,,House,,,2025,3,,,,,https://www.zameen.com/Property/dha_defence_phase_4_dha_phase_4_-_sector_a_gray_structure_house_is_available_for_sale_in_dha_4-54102108-13956-1.html
63 Lakh,2.5,Marla,Islamabad,"H-13, Islamabad222.5 Marla",House,2,Drawing Room,,,,,1,,https://www.zameen.com/Property/islamabad_h-13_marble_flooring_good_condition_house_for_sale-53474715-1039-1.html
10.4 Crore,1,Kanal,Islamabad,,House,Bathrooms: 7,Servant Quarters: 2,2024,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_slightly_used_attractive_designer_house_for_sale_with_pool-52475383-339-1.html
16 Crore,12,Marla,Islamabad,I-8,House,Bathrooms: 6,Servant Quarters,,Double Glazed Windows,Drawing Room,,2,,https://www.zameen.com/Property/islamabad_i-8_brand_new_house_available_for_sale_12_marla_in_i-8-53700030-174-1.html
2.95 Crore,4,Marla,Islamabad,I-11,House,Bathrooms: 5,Servant Quarters,2025,Double Glazed Windows,Drawing Room,Other Rooms,2,,https://www.zameen.com/Property/islamabad_i-11_brand_new_house_available_for_sale_in_i-11-53859649-706-1.html
15.8 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2026,4,2,1,1,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_designer_house_for_sale_with_swimming_pool_in_dha_phase_2_islamabad-54340366-339-1.html
2.85 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2026,1,1,1,1,1,https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_5_marla_house_for_sale_multi_gardens_b17_cda_sector-53647291-3115-1.html
2.6 Crore,5,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,2,1,1,2,,https://www.zameen.com/Property/fechs_jinnah_gardens_brand_new_designers_house_on_main_80_feet_road-54250802-1420-1.html
3 Crore,7,Marla,Islamabad,Bani Gala,House,,,,,,,,,https://www.zameen.com/Property/islamabad_bani_gala_7_marla_classical_design_house_for_sale-54153753-340-1.html
90 Lakh,3.6,Marla,Islamabad,Defence Residency DHA-2 Islamabad...more,House,Bathrooms: 2,Kitchens: 1,2018,Lobby in Building,,,1,,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_two_bedroom_flat_for_sale_in_defence_residency_near_gate_2_dha-2_islamabad-54363269-9914-1.html
14.5 Crore,1,Kanal,Islamabad,E-11,House,9,,2020,4,,,,,https://www.zameen.com/Property/islamabad_e-11_9_bed_triple_storey_corner_house_for_sale_in_prime_location-54309578-329-1.html
2.6 Crore,5,Marla,Islamabad,,House,,,,,,,,2,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_corner_5_marla_house_for_sale_is_available_in_mpchs_-_block_f-54360846-8527-1.html
15 Crore,14,Marla,Islamabad,D-12,House,Bathrooms: 7,Servant Quarters: 1,2025,2,1,1,2,,https://www.zameen.com/Property/islamabad_d-12_a_spacious_on_excellent_location_14_marla_house_in_d-12-53283228-160-1.html
22.5 Crore,1,Kanal,Islamabad,D-12,House,Bathrooms: 10,Servant Quarters: 1,2025,3,1,1,2,,https://www.zameen.com/Property/islamabad_d-12_on_excellent_location_house_available_for_sale_in_d-12-53283227-160-1.html
1.2 Crore,5.3,Marla,Islamabad,"River Garden, Islamabad335.3 Marla",House,3,Drawing Room,,,,,1,,https://www.zameen.com/Property/islamabad_river_garden_river_guarden_3_bed_apartment_for_sale-54357761-1457-1.html
15.8 Crore,11.7,Marla,Islamabad,,House,3,Servant Quarters,,Lobby in Building,Kitchens: 1,Lounge or Sitting Room,1,,https://www.zameen.com/Property/f_8_the_centaurus_corner_3_bedroom_apartment_with_margalla_hills_view-54330539-8349-1.html
9.6 Crore,3.9,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2010,1,1,1,2,,https://www.zameen.com/Property/blue_area_citadel_7_ready_to_buy_a_flat_867_square_feet_in_islamabad-53714636-19542-1.html
7.4 Crore,3,Marla,Islamabad,New Blue Area,House,Bathrooms: 5,Servant Quarters: 1,2025,2,1,1,1,,https://www.zameen.com/Property/islamabad_new_blue_area_flat_available_on_easy_installment_in_new_blue_area_in_the_heart_of_islamabad_citedal_7_project-53868065-16810-1.html
2.4 Crore,7.6,Marla,Islamabad,,House,3,Servant Quarters: 1,,1,1,1,1,,https://www.zameen.com/Property/e_11_e-11_4_3_bed_apartment_is_available-50894450-3241-1.html
1.8 Crore,5,Marla,Islamabad,H-13,House,Bathrooms: 4,Drawing Room,2025,Double Glazed Windows,,Other Rooms,2,,https://www.zameen.com/Property/islamabad_h-13_very_beautiful_house_almost_new_condition-53657145-1039-1.html
1.3 Crore,3,Marla,Islamabad,,House,Bathrooms: 3,Drawing Room,,Double Glazed Windows,,,2,,https://www.zameen.com/Property/h_13_shams_colony_solid_construction_new_house_for_sale-53765964-3403-1.html
1.65 Crore,5,Marla,Islamabad,H-13,House,,,,,,,,,https://www.zameen.com/Property/islamabad_h-13_very_beautiful_house_it_a_5_marla_double_storey-54138496-1039-1.html
75 Lakh,2.2,Marla,Islamabad,,House,1,Servant Quarters: 1,2024,Lobby in Building,1,1,1,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_studio_apartment_available_for_sale_at_prime_location_of_its_main_markaz_top_city-1_islamabad-52979593-9231-1.html
4.5 Crore,8,Marla,Islamabad,I-9,House,Bathrooms: 1,Servant Quarters: 1,,1,1,1,1,,https://www.zameen.com/Property/islamabad_i-9_house_for_sale_sector_i-9_4_islamabad-54085707-175-1.html
6.5 Crore,6,Marla,Islamabad,I-10,House,Bathrooms: 1,Servant Quarters: 1,,1,1,1,1,,https://www.zameen.com/Property/islamabad_i-10_brand_new_house_for_sale_sector_i-10_4_islamabad-54085558-173-1.html
4.5 Crore,6,Marla,Islamabad,I-11,House,Bathrooms: 1,Servant Quarters: 1,,1,1,1,1,,https://www.zameen.com/Property/islamabad_i-11_brand_new_house_for_sale_sector_i-11_1_islamabad-54085537-706-1.html
5.5 Crore,6.7,Marla,Islamabad,"I-10, Islamabad6.7 Marla",House,Bathrooms: 4,Servant Quarters: 1,,1,1,1,1,,https://www.zameen.com/Property/islamabad_i-10_brand_new_25x60_house_for_sale_in_sector_i-10_2_islamabad_prime_location-54085117-173-1.html
10.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2024,2,2,1,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_house_for_sale_dha_2_islamabad-54324735-339-1.html
22 Crore,1.2,Kanal,Islamabad,"I-8, Islamabad671.2 Kanal",House,Bathrooms: 6,Servant Quarters: 1,,2,1,1,2,,https://www.zameen.com/Property/islamabad_i-8_house_for_sale_in_i-8_islamabad_prime_location_cda_transfer-54257844-174-1.html
14.99 Crore,1,Kanal,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2024,2,1,1,2,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_c_1_kanal_fully_furnished_house_back_to_main_boulevard_corner_50_ft_wide_street_sunface_block_c_topcity_1-54350180-9232-1.html
13.9 Crore,1,Kanal,Islamabad,Islamabad is popular for its vibran...more,House,Bathrooms: 6,Servant Quarters: 2,2025,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_get_your_hands_on_brand_new_house_in_islamabad_best_area-52696760-339-1.html
46 Crore,3,Kanal,Islamabad,,House,Bathrooms: 11,Servant Quarters: 2,2026,8,2,3,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_3_kanal_ultra_luxury_fully_furnished_mansion_for_sale_in_dha_phase_2_islamabad-54253565-339-1.html
7.25 Crore,10,Marla,Islamabad,,House,Bathrooms: 7,Servant Quarters: 1,,2,1,,02,,https://www.zameen.com/Property/g_13_g-13_1_book_a_on_excellent_location_house_of_10_marla_in_g-13_1_islamabad-54343379-3337-1.html
11.5 Crore,12,Marla,Islamabad,G-9,House,Bathrooms: 6,Drawing Room,,Flooring,,Steam Room,2,,https://www.zameen.com/Property/islamabad_g-9_brand_new_house_available_for_sale-54356060-171-1.html
4.1 Crore,9.3,Marla,Islamabad,,House,,,2025,Central Air Conditioning,,,,,https://www.zameen.com/Property/d_17_margalla_view_housing_society_highly-desirable_house_available_in_margalla_view_housing_society_for_sale-54080111-3160-1.html
2.5 Crore,5,Marla,Islamabad,,House,Bathrooms: 3,Drawing Room,,Double Glazed Windows,,,1,,https://www.zameen.com/Property/faisal_hills_faisal_hills_-_block_c_luxury_furnished_corner_villa_for_sale_in_faisal_hills_block_c_canary_villas-54242135-12657-1.html
2.1 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters,,Double Glazed Windows,Drawing Room,Other Rooms,1,,https://www.zameen.com/Property/faisal_hills_faisal_hills_-_block_c_canary_villas_non_corner_5_marla_luxury_villa_in_faisal_hills-54242134-12657-1.html
13.5 Crore,14,Marla,Islamabad,D-12,House,Bathrooms: 7,Servant Quarters: 1,,2,1,1,3,,https://www.zameen.com/Property/islamabad_d-12_on_excellent_location_14_marla_house_for_sale_available_in_d-12-52827601-160-1.html
10.9 Crore,1,Kanal,Islamabad,,House,Bathrooms: 7,Servant Quarters: 2,2025,2,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_in_dha_defence_phase_2_1_kanal_house_for_sale-52510497-339-1.html
9.25 Crore,16,Marla,Islamabad,,House,Bathrooms: 8,Servant Quarters: 2,2018,4,2,2,2,2,https://www.zameen.com/Property/e_11_e-11_2_e-11_new_modern_designing_house_for_sale-53824577-3233-1.html
83 Lakh,2.4,Marla,Islamabad,"E-11, Islamabad112.4 Marla",House,1,Servant Quarters,2019,Double Glazed Windows,Kitchens,,Lounge or Sitting Room,,https://www.zameen.com/Property/islamabad_e-11_high_rental_income_1_bed_flat_for_sale-54322550-329-1.html
1.8 Crore,5.3,Marla,Islamabad,"E-11, Islamabad225.3 Marla",House,2,Servant Quarters,2020,Lobby in Building,Kitchens,Lounge or Sitting Room,Study Room,,https://www.zameen.com/Property/islamabad_e-11_fully_furnished_2_bed_luxury_flat_for_sale_in_e-11-54367815-329-1.html
8.9 Crore,9,Marla,Islamabad,,House,3,Servant Quarters: 1,2025,1,1,1,1,,https://www.zameen.com/Property/f_10_sukh_chayn_residence_brand_new_3_bed_apartment_available_for_sale_in_the_heart_of_islamabad_all_facilities_available-52465161-13589-1.html
57 Lakh,2.1,Marla,Islamabad,"PWD Housing Scheme, Islamabad222.1 Marla",House,2,,,,,,,,https://www.zameen.com/Property/islamabad_pwd_housing_scheme_prominently-located_flat_available_in_pwd_housing_scheme_for_sale-54214045-424-1.html
32 Crore,1.3,Kanal,Islamabad,"F-7, Islamabad661.3 Kanal",House,Bathrooms: 6,Servant Quarters: 1,2000,4,1,1,1,,https://www.zameen.com/Property/islamabad_f-7_prime_house_for_sale_in_f-7_islamabad_666_sq_yards_excellent_investment_opportunity-54369069-165-1.html
4.5 Crore,6.7,Marla,Islamabad,"I-9, Islamabad556.7 Marla",House,Bathrooms: 1,Servant Quarters: 1,,1,1,1,1,,https://www.zameen.com/Property/islamabad_i-9_house_for_sale_sector_i-9_4_islamabad-54085726-175-1.html
3.9 Crore,6.6,Marla,Islamabad,,House,2,Servant Quarters: 2,2022,5,2,2,1,,https://www.zameen.com/Property/gt_road_zeta-1_mall_2_bed_furnished_flat_for_sale-53549186-16699-1.html
3.75 Crore,5.8,Marla,Islamabad,,House,Bathrooms: 2,Drawing Room,,,,,1,,https://www.zameen.com/Property/gt_road_zeta-1_mall_apartment_for_sale-54309851-16699-1.html
4.8 Crore,7.8,Marla,Islamabad,,House,Bathrooms: 1,Servant Quarters: 1,2024,2,1,1,2,,https://www.zameen.com/Property/gt_road_zeta-1_mall_apartment_for_sale-53120719-16699-1.html
1.25 Crore,3.1,Marla,Islamabad,"E-11, Islamabad223.1 Marla",House,2,,,1,,,,,https://www.zameen.com/Property/islamabad_e-11_2_bed_room_flat_for_sale_e_11_3_multi-54329445-329-1.html
1.6 Crore,5,Marla,Islamabad,Japan Road,House,Bathrooms: 04,Servant Quarters: 01,2025,01,01,1,02,,https://www.zameen.com/Property/islamabad_japan_road_registry_intaqal_from_islamabad_brand_new_home_available_for_sale-53551668-9473-1.html
11 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2024,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_aesthetically_designed_house_for_sale_in_dha_i_r-52392086-339-1.html
13.75 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2024,Double Glazed Windows,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_one_kanal_brand_new_home_for_sale_in_dha_ii_islamabad-52363768-339-1.html
7.4 Crore,1,Kanal,Islamabad,Top City 1,House,Bathrooms: 7,Servant Quarters: 1,2015,3,1,1,2,,https://www.zameen.com/Property/islamabad_top_city_1_prime_location_20_marla_house_in_beautiful_location_of_top_city_1-54192013-1383-1.html
24.5 Crore,19.5,Marla,Islamabad,"F-6, Islamabad5619.5 Marla",House,,,,Double Glazed Windows,1,Steam Room,1,,https://www.zameen.com/Property/islamabad_f-6_hot_location_deal_488_sq_yards_old_house-54079739-164-1.html
1.7 Crore,4.3,Marla,Islamabad,,House,1,Drawing Room,2026,Lobby in Building,,,1,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_k_top_luxury_1_bed_all_dues_clear_964_square_feet_available_to_sale-54321481-16277-1.html
14.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2026,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_designer_house_for_sale_in_dha_phase_2_sector_f_islamabad-54327976-339-1.html
3 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2026,Double Glazed Windows,1,,2,,https://www.zameen.com/Property/b_17_faisal_margalla_city_beautifull_house_ready_to_move_for_sell_on_installments-54341482-13424-1.html
6.7 Crore,12,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,,1,1,,2,,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_in_islamabad_you_can_find_the_perfect_prime_location_house_for_sale-54140571-1421-1.html
6.75 Crore,12,Marla,Islamabad,Islamabad has affordable housing op...more,House,Bathrooms: 6,Drawing Room,,,,,2,,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_prime_location_jinnah_gardens_phase_1_house_sized_12_marla_is_available-54140569-1421-1.html
3.2 Crore,6,Marla,Islamabad,Korang Town,House,Bathrooms: 3,Servant Quarters: 1,,2,1,2,1,,https://www.zameen.com/Property/islamabad_korang_town_ideal_6_marla_house_available_in_korang_town-54281517-445-1.html
2.95 Crore,12.1,Marla,Islamabad,,House,Bathrooms: 3,Servant Quarters: 1,,Double Glazed Windows,1,1,1,,https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_askari_heights_-4_open_view_apartment_for_sale-53824687-21450-1.html
16.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2026,3,2,,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_fully_furnished_1_kanal_spanish_style_house_for_sale_in_dha_phase_2_sector_b_islamabad-54331235-339-1.html
4.1 Crore,10,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2025,1,1,1,1,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_house_sized_10_marla_in_top_city_1_-_block_a-53648786-9231-1.html
2.95 Crore,5,Marla,Islamabad,B-17,House,,,2026,1,,,,,https://www.zameen.com/Property/islamabad_b-17_5_marla_designer_house_for_sale_in_fmc_b-17_islamabad-54366871-616-1.html
4 Crore,8,Marla,Islamabad,,House,,,2022,RoomsOther Rooms,2,,2,2,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_e_8_marla_30_60_in_block_e_brand_new_house_for_sale_in_mpchs_multi_gardens_b-17_islamabad-54248092-3120-1.html
4 Crore,8,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,2,2,1,2,2,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_e_30x60_brand_new_double_storey_double_unit_house_for_sale_in_multi_gardens_b-17_islamabad-54250593-3120-1.html
3.2 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2026,1,1,1,1,2,https://www.zameen.com/Property/b_17_faisal_margalla_city_5_marla_brand_new_double_storey_single_unit_house_for_sale_in_faisal_margala_city_b-17_islamabad-54254838-13424-1.html
3.15 Crore,5,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,1,1,1,2,2,https://www.zameen.com/Property/b_17_faisal_margalla_city_5_marla_triple_storey_double_unit_house_for_sale_in_faisal_margala_city_b-17_islamabad-54254898-13424-1.html
12.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 5,Servant Quarters: 2,2025,2,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_aesthetic_designed_with_pool_house_for_sale_in_dha-2_islamabad-52789463-339-1.html
5 Crore,6,Marla,Islamabad,"PKR5 CroreE-11Luxury House For SaleE11
 5 Bedroom 5 Bathroom 2 Kitchen...moreAdded: 12 hours ago",House,5,5,,1,1,1,2,,https://www.zameen.com/Property/islamabad_e-11_luxury_house_for_sale-54017743-329-1.html
3.45 Crore,7,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,,,1,,2,,https://www.zameen.com/Property/g_15_g-15_1_7_marla_brand_new_house_for_sale_in_g15-54368983-3348-1.html
6.85 Crore,8,Marla,Islamabad,G-13,House,,,,,,,,,https://www.zameen.com/Property/islamabad_g-13_30_60_brand_new_luxury_house_for_sale_in_g-13_islamabad-54322313-330-1.html
3.75 Crore,4,Marla,Islamabad,G-13,House,,,,,,,,,https://www.zameen.com/Property/islamabad_g-13_g-13_1_double_storey_house_for_sale_prime_location_25_x_40_beautifully_maintained_double_storey_used_house_available_for_sale_in-54350755-330-1.html
12.25 Crore,14,Marla,Islamabad,G-13,House,Bathrooms: 4,Drawing Room,2024,2,,2,2,,https://www.zameen.com/Property/islamabad_g-13_luxury_4080_corner_amp_park-facing_house_for_sale_g-13_4_prime_location_70-ft_road_sun-facing-54284465-330-1.html
6.3 Crore,8,Marla,Islamabad,G-13,House,,,,,,,,,https://www.zameen.com/Property/islamabad_g-13_30_60_brand_new_luxury_house_for_sale_in_g-13_islamabad-54350882-330-1.html
15.5 Crore,1,Kanal,Islamabad,G-13,House,,,,,,,2,,https://www.zameen.com/Property/islamabad_g-13_1_kanal_50_90_brand_new_luxury_house_for_sale_in_g-13_islamabad-54351413-330-1.html
5.3 Crore,5,Marla,Islamabad,D-12,House,4,Servant Quarters: 1,,1,1,1,2,,https://www.zameen.com/Property/islamabad_d-12_5_marla_brand_new_investor_price_house_for_sale-53656881-160-1.html
8 Crore,1,Kanal,Islamabad,Top City 1,House,Bathrooms: 1,Drawing Room,2020,Double Glazed Windows,,Steam Room,1,,https://www.zameen.com/Property/islamabad_top_city_1_corner_1_kanal_house_for_sale_in_top_city-1-54138428-1383-1.html
16.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2026,3,2,,,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_ultra_luxury_furnished_house_for_sale_in_dha_phase_2_islamabad-54331723-339-1.html
1.75 Crore,5,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2025,1,1,1,2,,https://www.zameen.com/Property/mumtaz_city_mumtaz_city_-_chanab_block_5_marla_double_unit_gary_structure_house_for_sale_in_mumtaz_city_islamabad_prime_location_near_airport_motorway-53155602-14993-1.html
15.75 Crore,1,Kanal,Islamabad,,House,9,,,Double Glazed Windows,,,,,https://www.zameen.com/Property/e_11_e-11_4_national_police_foundation_sector_e-11_4_50_90_1-kanal_9_bedrooms_house_for_sale-54350208-3241-1.html
85 Lakh,6,Marla,Islamabad,Frash Town,House,Bathrooms: 10,Servant Quarters: 1,2026,3,1,2,3,,https://www.zameen.com/Property/islamabad_frash_town_6_marla_house_for_sale_in_the_perfect_location_of_frash_town-54257611-11219-1.html
16.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,,Lobby in Building,1,2,1,,https://www.zameen.com/Property/f_8_the_centaurus_exclusive_investor_deal_luxury_duplex_available_for_sale-53571762-8349-1.html
5 Crore,10,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2023,3,1,1,2,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_j_bahria_enclave_islamabad_sector_j_brand_new_beautiful_house_available_for_sale-54001458-11981-1.html
13.5 Crore,2,Kanal,Islamabad,,House,,,2026,,,,,,https://www.zameen.com/Property/kashmir_highway_eighteen_2-kanal_luxury_villa_in_eighteen_islamabad_ready-to-move_with_golf_course_view_instalment_options_available-54360273-12602-1.html
9 Crore,2.6,Kanal,Islamabad,"Spring Valley, Islamabad562.6 Kanal",House,Bathrooms: 6,Servant Quarters: 1,2005,Double Glazed Windows,1,1,1,,https://www.zameen.com/Property/islamabad_spring_valley_51_marla_corner_beautiful_house_for_sale_in_spring_valley_barakahu-54089981-8850-1.html
2.45 Crore,5,Marla,Islamabad,Mumtaz City,House,Bathrooms: 6,Servant Quarters: 1,2025,1,1,2,2,,https://www.zameen.com/Property/islamabad_mumtaz_city_mumtaz_city_5_marla_house_available_for_sale-53312962-3464-1.html
3.8 Crore,10,Marla,Islamabad,Top City 1,House,Bathrooms: 3,Servant Quarters,2024,Double Glazed Windows,Drawing Room,Steam Room,1,,https://www.zameen.com/Property/islamabad_top_city_1_10_marla_house_for_sale_in_beautiful_top_city_1-52231427-1383-1.html
2.85 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Drawing Room,2023,2,1,1,1,2,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_5_marla_brand_new_designer_double_storey_single_unit_house_for_sale_in_multi_gardens_b-17_islamabad_block_f-54260141-8527-1.html
15.5 Crore,1,Kanal,Islamabad,G-13,House,,,,,,,2,2,https://www.zameen.com/Property/islamabad_g-13_g-13_50x90_luxury_house_available_at_prime_location-54304237-330-1.html
9.5 Crore,10,Marla,Islamabad,G-13,House,,,,,,,2,2,https://www.zameen.com/Property/islamabad_g-13_g-13_35x70_designer_corner_house_available-54304249-330-1.html
65 Crore,2.2,Kanal,Islamabad,"F-10, Islamabad762.2 Kanal",House,Bathrooms: 6,Servant Quarters: 2,2025,6,2,2,2,,https://www.zameen.com/Property/islamabad_f-10_f-10_brand_new_beautiful_house_1111_sq_yards_available_on_really_good_location-47656613-162-1.html
12.5 Crore,12.4,Marla,Islamabad,,House,Bathrooms: 9,Servant Quarters: 1,2015,7,1,1,3,,https://www.zameen.com/Property/i_8_i-8_2_house_for_sale_in_i-8_2_islamabad-46459181-3442-1.html
4.5 Crore,4,Marla,Islamabad,G-13,House,,,,,,,,,https://www.zameen.com/Property/islamabad_g-13_25_40_brand_new_luxury_house_for_sale_in_g-13_islamabad-54351509-330-1.html
70 Crore,3.4,Kanal,Islamabad,"F-6, Islamabad763.4 Kanal",House,7,Servant Quarters: 2,1500,10,2,2,2,2,https://www.zameen.com/Property/islamabad_f-6_beautiful_luxury_1500_sq_yards_house_for_sale_in_f-6_islamabad_7_bedrooms_prime_vip_location_cda_transfer-54323113-164-1.html
22.5 Crore,1.4,Kanal,Islamabad,"F-10, Islamabad661.4 Kanal",House,6,Servant Quarters: 2,2020,5,2,2,2,,https://www.zameen.com/Property/islamabad_f-10_beautiful_luxury_6_bedroom_house_for_sale_in_f-10_islamabad_677_square_yards_cda_transfer_prime_vip_location-53613672-162-1.html
65 Crore,5,Kanal,Islamabad,F-8,House,7,Servant Quarters: 3,2019,15,3,2,2,,https://www.zameen.com/Property/islamabad_f-8_beautiful_luxurious_house_available_for_sale_in_f-_8_islamabad_7_bedrooms_top_off_location_low_price-53222832-166-1.html
10 Crore,1,Kanal,Islamabad,DHA PHASE 2 Islamabad *House Detail...more,House,Bathrooms: 6,Servant Quarters: 2,2026,3,2,1,1,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_house_on_investor_price_ready_for_sale_in_dha_defence_phase_2_islamabad-54250835-339-1.html
9.9 Crore,1,Kanal,Islamabad,,House,06,Servant Quarters: 2,2026,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_double_unit_brand_new_house_available_for_sale_in_dha_defense_phase_2_islamabad-54328650-339-1.html
10.5 Crore,1,Kanal,Islamabad,DHA PHASE 2 Islamabad *House Detail...more,House,Bathrooms: 6,Servant Quarters: 2,2026,3,2,2,1,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_european_design_1_kanal_brand_new_designer_house_ready_for_sale_in_dha_defence_phase_2_islamabad-54251340-339-1.html
12.8 Crore,1,Kanal,Islamabad,"DHA PHASE 2 Islamabad
*House Detail...more",House,Bathrooms: 7,Servant Quarters: 2,2026,4,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_double_unit_corner_house_1_kanal_brand_new_designer_house_ready_for_sale_in_dha_defence_phase_2_islamabad-54368716-339-1.html
9.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,,Double Glazed Windows,1,Steam Room,2,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_b_4500_sq_ft_prime_location_near_school_market_mosque_ready_to_move_designer_house_for_sale_block-b_top_city-1_islamabad-54045926-9230-1.html
2.3 Crore,5,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,,1,1,2,2,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c1_b17_block_c1_5_marla_house_available_for_sale_4th_to_fmc_central_park-54129949-12607-1.html
6.95 Crore,10,Marla,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_get_in_touch_now_to_buy_a_10_marla_house_in_top_city_1_-_block_d-54226149-9233-1.html
3.2 Crore,4,Marla,Islamabad,I-11,House,Bathrooms: 4,Servant Quarters: 1,2025,2,1,2,1,,https://www.zameen.com/Property/islamabad_i-11_corner_brand_new_double_storey_house_is_available_for_sale-53933493-706-1.html
14.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2026,3,2,1,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_most_beautiful_luxury_designer_house_available_for_sale_in_dha_phase_2_islamabad-54297758-339-1.html
