price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,listing_url
20 Crore,1,Kanal,Islamabad,,House,Bathrooms: 10,Servant Quarters: 2,2026,4,2,2,3,,https://www.zameen.com/Property/e_11_e-11_3_ready_to_buy_a_on_excellent_location_house_in_e-11_3_islamabad-54314489-3238-1.html
6 Crore,10,Marla,Islamabad,,House,Bathrooms: 5,Drawing Room,2025,,,,,,https://www.zameen.com/Property/kashmir_highway_eighteen_10_marla_luxury_villa_ready_to_move_for_sale_in_eighteen_islamabad_direct_deal_with_eighteen-54277731-12602-1.html
13 Crore,14.2,Marla,Islamabad,"G-13, Islamabad6714.2 Marla",House,Bathrooms: 8,6,2026,4,2,1,2,,https://www.zameen.com/Property/islamabad_g-13_g-13_brand_new_size_356_yds_architect_design_double_storey_house_6_master_bedrooms_attached_stylish_6_bathrooms_2_d_d_2_tv_lounge_american_style_kitchen_reasonable_price-53917731-330-1.html
1.75 Crore,5.2,Marla,Islamabad,"E-11, Islamabad225.2 Marla",House,Bathrooms: 2,Servant Quarters: 1,2019,1,1,Steam Room,1,,https://www.zameen.com/Property/islamabad_e-11_residential_building_qurtuba_heights_corner_apartment-53102204-329-1.html
11.25 Crore,1,Kanal,Islamabad,,House,Bathrooms: 1,Servant Quarters: 1,2020,2,1,,1,,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_-_sector_b_most_beautiful_front_open_house_for_sale_in_dha_phase_1-54260388-3190-1.html
10.8 Crore,1,Kanal,Islamabad,"Sector A, DHA 1, Islamabad close to...more",House,Bathrooms: 2,Servant Quarters,2024,2,Drawing Room,Steam Room,9,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_south_face_brand_new_house_for_sale_sector_a_dha_phase_1-54153166-376-1.html
8.5 Crore,8.9,Marla,Islamabad,"Karakoram Diplomatic Enclave, Islamabad238.9 Marla",House,2,Servant Quarters: 1,2017,1,1,1,1,,https://www.zameen.com/Property/islamabad_karakoram_diplomatic_enclave_2_bedrooms_furnished_apartment_for_sale_in_karakoram_diplomatic_enclave-45726571-9063-1.html
3.1 Crore,6,Marla,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/mumtaz_city_mumtaz_city_-_ravi_block_6_marla_2_5_stories_brand_new_house_for_sale-54344989-14996-1.html
95 Crore,1.9,Kanal,Islamabad,,House,4,,,,,,,,https://www.zameen.com/Property/f_8_the_centaurus_1_89_kanal_12_400_sq_feet_covered_area_ultra-luxury_4_bed_penthouse_the_centaurus_tower_a-54335599-8349-1.html
3.1 Crore,5,Marla,Islamabad,Faisal Town - F-18,House,Bathrooms: 5,Drawing Room,2026,1,,,1,,https://www.zameen.com/Property/islamabad_faisal_town_-_f-18_get_in_touch_now_to_buy_a_house_in_faisal_town_-_f-18-53872423-8260-1.html
